,0,1,2
0,146.0,132.0,3.5
1,151.0,132.0,3.5
2,142.0,132.0,2.5
3,143.0,132.0,3.0
4,156.0,132.0,3.5
5,149.0,132.0,4.5
6,152.0,132.0,3.5
7,158.0,132.0,4.0
8,138.0,132.0,4.5
9,134.0,132.0,1.0
10,134.0,132.0,3.5
11,137.0,132.0,1.5
12,138.0,132.0,2.0
13,153.0,132.0,4.0
14,152.0,132.0,4.0
15,149.0,132.0,4.5
16,142.0,132.0,3.0
17,152.0,132.0,3.0
18,149.0,132.0,3.5
19,154.0,132.0,3.5
20,135.0,132.0,1.0
21,148.0,132.0,3.5
22,149.0,132.0,3.5
23,138.0,132.0,2.5
24,162.0,132.0,4.0
25,143.0,132.0,2.5
26,168.0,132.0,4.0
27,165.0,132.0,5.0
28,150.0,132.0,3.0
29,142.0,132.0,4.5
30,140.0,132.0,3.5
31,140.0,132.0,2.0
32,153.0,132.0,4.0
33,141.0,132.0,3.0
34,147.0,132.0,4.0
35,154.0,132.0,4.0
36,141.0,132.0,2.5
37,156.0,132.0,4.0
38,147.0,132.0,3.0
39,141.0,132.0,4.0
40,144.0,132.0,2.0
41,151.0,132.0,3.5
42,142.0,132.0,2.5
43,142.0,132.0,3.5
44,132.0,132.0,3.0
45,157.0,132.0,4.0
46,150.0,132.0,3.0
47,143.0,132.0,3.5
48,149.0,132.0,4.5
49,135.0,132.0,2.5
50,150.0,132.0,3.0
51,152.0,132.0,3.5
52,141.0,132.0,2.0
53,154.0,132.0,4.0
54,143.0,132.0,3.5
55,135.0,132.0,2.0
56,161.0,132.0,4.5
57,138.0,132.0,3.0
58,152.0,132.0,2.5
59,140.0,132.0,2.5
60,152.0,132.0,3.5
61,130.0,132.0,2.0
62,135.0,132.0,3.0
63,144.0,132.0,3.0
64,144.0,132.0,3.5
65,141.0,132.0,3.0
66,154.0,132.0,4.0
67,153.0,132.0,4.0
68,136.0,132.0,2.0
69,147.0,132.0,3.0
70,146.0,132.0,4.0
71,130.0,132.0,3.0
72,138.0,132.0,3.0
73,150.0,132.0,3.0
74,146.0,132.0,2.0
75,138.0,132.0,3.0
76,140.0,132.0,2.5
77,148.0,132.0,3.0
78,152.0,132.0,3.0
79,140.0,132.0,3.0
80,146.0,132.0,3.0
81,147.0,132.0,4.0
82,152.0,132.0,4.0
83,132.0,132.0,2.0
84,150.0,132.0,4.0
85,168.0,132.0,5.0
86,138.0,132.0,2.5
87,142.0,132.0,2.5
88,142.0,132.0,3.0
89,160.0,132.0,4.0
90,144.0,132.0,2.5
91,147.0,132.0,3.0
92,152.0,132.0,3.0
93,141.0,132.0,2.0
94,130.0,132.0,3.0
95,143.0,132.0,2.0
96,136.0,132.0,2.5
97,138.0,132.0,2.5
98,159.0,132.0,4.5
99,152.0,132.0,3.5
100,141.0,132.0,4.0
101,145.0,132.0,4.0
102,153.0,132.0,4.0
103,149.0,132.0,3.0
104,155.0,132.0,4.0
